Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts,Snapshot_Age_Hours,iv_surface_source,iv_surface_date,iv_surface_age_days,history_depth_ok,iv_data_stale,regime_confidence,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call_hist,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,iv_rank_252d,iv_percentile_252d,iv_history_count,iv_index_30d_hist,IV_30_D_Call,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Regime,IV_Rank_Source,IV_Maturity_State,Trend_State,Price_vs_SMA20,Price_vs_SMA50,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,Signal_Type,intraday_range_pct,gap_pct,intraday_position_pct,compression_tag,gap_tag,intraday_position_tag,pct_from_52w_high,pct_from_52w_low,52w_range_position,52w_regime_tag,52w_strategy_context,net_change,net_percent_change,momentum_tag,entry_timing_context,days_to_earnings,earnings_proximity_flag,IVHV_gap_30D
ADBE,2026-01-12 18:56:05.018451,2026-01-12,,schwab,327.49,3541399.0,lastPrice,1768265907655,1768265962095,7002.923,True,OPEN,OK,COMPUTED,26.431,27.101195481767014,24.560959912741172,26.79294986774396,28.87859277055637,27.10990439895042,27.101195481767014,24.560959912741172,26.79294986774396,28.87859277055637,27.10990439895042,26.994975277910747,27.24216955127259,26.488435107086932,0.308245614023054,Normal_Compression,330.67,323.5,327.77,333.95,465.6999,311.585,-6.46,-1.93442132,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.03571428571428571,,,,26.693,,,,,,,,,,,,,,,,,,,,,,,,,9,,26.431,,Unknown,Unknown,Stable,,False,Unknown,Unknown,LOCAL,IMMATURE,Bullish,1.0636911913322449,0.05315273129788529,Falling,26.779386828199744,56.463881339981576,Strong,29.748714297551647,True,1.1255236009818639,,0.0,,,False,Bullish,2.1893798283917114,1.850576433597846,55.64853556485356,NORMAL,NO_GAP,MID_RANGE,29.67788912988815,5.104546111013056,10.320222119989712,NEAR_52W_LOW,CONTRARIAN,-6.46,-1.93442132,NORMAL,MODERATE,,False,-0.36194986774395943
CAT,2026-01-12 18:56:05.018451,2026-01-12,,schwab,629.0,1856964.0,lastPrice,1768265947487,1768265962109,7002.909,True,OPEN,OK,COMPUTED,34.999,38.14297747578294,37.73950463064078,33.93999733000183,37.57830588832723,33.746605963604345,38.14297747578294,37.73950463064078,33.93999733000183,37.57830588832723,33.746605963604345,31.886330340527525,29.64045570275452,28.835626192118813,4.202980145781112,Normal_Compression,630.98,612.96,614.65,617.62,630.98,267.3,11.38,1.84255691,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.03968253968253968,,,,39.257,,,,,,,,,,,,,,,,,,,,,,,,,10,,34.999,,Unknown,Unknown,Rising,,False,Unknown,Unknown,LOCAL,IMMATURE,Bearish,-4.971033804865935,-2.1907139357772625,Falling,47.58293411165937,22.226924670007335,Strong,26.464311074547236,True,0.756144777694998,,0.0,,,False,Bearish,2.864864864864862,0.4808782099025335,89.01220865704761,NORMAL,NO_GAP,NEAR_HIGH,0.31379758470950236,135.3161242050131,99.45556533216013,NEAR_52W_HIGH,MOMENTUM,11.38,1.84255691,NORMAL,MODERATE,,False,1.059002669998172
ELV,2026-01-12 18:56:05.018451,2026-01-12,,schwab,374.0,984673.0,lastPrice,1768265809118,1768265160482,7804.536,True,OPEN,OK,COMPUTED,34.67,21.30455521662806,28.41749526416073,26.552642393405268,29.09222218033752,29.127726671834857,21.30455521662806,28.41749526416073,26.552642393405268,29.09222218033752,29.127726671834857,30.97689755452821,38.94942672746728,39.6390925248133,-5.248087176777208,Normal,375.59,365.1,374.9,372.83,458.75,273.71,1.17,0.31381595,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.031746031746031744,,,,39.009,,,,,,,,,,,,,,,,,,,,,,,,,8,,34.67,,Unknown,Unknown,Falling,,False,Unknown,Unknown,LOCAL,IMMATURE,Bullish,5.976117418736606,7.950864874173481,Falling,21.657232283326312,70.13234823216126,Moderate,38.17658850034605,True,1.1011418661766958,,0.0,,,False,Bullish,2.8048128342245864,0.5552128315854393,84.84270734032428,NORMAL,NO_GAP,NEAR_HIGH,18.474114441416894,36.64097037009975,54.199092088197155,MID_RANGE,NEUTRAL,1.17,0.31381595,FLAT_DAY,EARLY,,False,8.117357606594734
RBC,2026-01-12 18:56:05.018451,2026-01-12,,schwab,489.93,140704.0,lastPrice,1768266000062,1768262708390,10256.628,True,OPEN,OK,COMPUTED,,29.15436298573639,25.730701087076476,23.145552557990005,25.569167931029824,25.148972875907955,29.15436298573639,25.730701087076476,23.145552557990005,25.569167931029824,25.148972875907955,24.114939830871503,23.408065941936965,23.35606435680045,6.008810427746386,Normal,489.931,483.55,484.67,487.16,493.125,290.56,2.77,0.56860169,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.031746031746031744,,,,29.901,,,,,,,,,,,,,,,,,,,,,,,,,8,,29.901,,Unknown,Unknown,Rising,,False,Unknown,Unknown,LOCAL,IMMATURE,Bullish,5.976117418736606,7.950864874173481,Falling,21.657232283326312,70.13234823216126,Moderate,38.17658850034605,True,1.2767662787313485,,0.0,,,False,Bullish,1.3024309595248242,0.511125708186224,99.98432847516099,NORMAL,NO_GAP,NEAR_HIGH,0.6479087452471469,68.61577643171806,98.42272850689902,NEAR_52W_HIGH,MOMENTUM,2.77,0.56860169,NORMAL,MODERATE,,False,6.755447442009995
PWR,2026-01-12 18:56:05.018451,2026-01-12,,schwab,432.64,746726.0,lastPrice,1768266000264,1768265617287,7347.731,True,OPEN,OK,COMPUTED,30.82,39.75051449031981,42.25594936326389,37.0783224176019,36.7787476244056,35.3865456531228,39.75051449031981,42.25594936326389,37.0783224176019,36.7787476244056,35.3865456531228,32.73021619731067,30.68907501691361,31.493200205565618,2.672192072717906,Normal_Compression,435.33,418.91,421.08,422.57,473.99,227.08,10.07,2.38303713,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.031746031746031744,,,,37.235,,,,,,,,,,,,,,,,,,,,,,,,,8,,30.82,,Unknown,Unknown,Rising,,False,Unknown,Unknown,LOCAL,IMMATURE,Bullish,5.670979162270201,9.356490701189555,Falling,26.273635296893264,72.97735739324955,Strong,29.017815705727067,True,0.9415254933720657,Ascending Triangle,63.0,,,False,Bullish,3.79530325443786,0.35260430224578393,83.61753958587086,NORMAL,NO_GAP,NEAR_HIGH,8.723812738665378,90.52316364276905,83.25300716860393,MID_RANGE,NEUTRAL,10.07,2.38303713,STRONG_UP_DAY,LATE_LONG,,False,-6.258322417601903
HCA,2026-01-12 18:56:05.018451,2026-01-12,,schwab,474.32,737697.0,lastPrice,1768265809121,1768262224952,10740.066,True,OPEN,OK,COMPUTED,,23.538566402118352,22.067969657130387,23.284079113947097,25.20437095213576,24.3780983358957,23.538566402118352,22.067969657130387,23.284079113947097,25.20437095213576,24.3780983358957,24.450263672490426,23.78602313441911,23.97174384819429,0.254487288171255,Normal_Compression,474.52,466.01,468.89,472.07,520.0,295.0,2.25,0.47662423,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.031746031746031744,,,,32.811,,,,,,,,,,,,,,,,,,,,,,,,,8,,32.811,,Unknown,Unknown,Stable,,False,Unknown,Unknown,LOCAL,IMMATURE,Bearish,-0.3109791449577714,-1.202030661702183,Falling,34.92655237155735,49.61955573912309,Strong,23.174918812467517,True,0.7063155287088939,,0.0,,,False,Bearish,1.794147411030526,0.6736289109665954,97.64982373678039,NORMAL,NO_GAP,NEAR_HIGH,8.784615384615387,60.786440677966105,79.69777777777777,MID_RANGE,NEUTRAL,2.25,0.47662423,FLAT_DAY,EARLY,,False,9.526920886052903
CSL,2026-01-12 18:56:05.018451,2026-01-12,,schwab,356.22,356485.0,lastPrice,1768266000264,1768262225779,10739.239,True,OPEN,OK,COMPUTED,38.318,38.21794766700087,28.062777832809132,25.758202886896097,28.932355047660742,31.37924916838125,38.21794766700087,28.062777832809132,25.758202886896097,28.932355047660742,31.37924916838125,38.154187262461114,36.30141870789433,35.152674393423275,12.459744780104774,Normal_Expansion,360.72,352.8683,353.05,354.93,435.92,293.43,1.29,0.36345195,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.031746031746031744,,,,37.527,,,,,,,,,,,,,,,,,,,,,,,,,8,,38.318,,Unknown,Unknown,Rising,,False,Unknown,Unknown,LOCAL,IMMATURE,Bearish,-0.3109791449577714,-1.202030661702183,Falling,34.92655237155735,49.61955573912309,Strong,23.174918812467517,True,0.6048050214642601,,0.0,,,False,Bearish,2.2041715793610828,0.5296819091088371,42.68757084453085,NORMAL,NO_GAP,MID_RANGE,18.28317122407781,21.398629996932836,44.06625026317638,MID_RANGE,NEUTRAL,1.29,0.36345195,FLAT_DAY,EARLY,,False,12.559797113103901
HD,2026-01-12 18:56:05.018451,2026-01-12,,schwab,374.735,5859777.0,lastPrice,1768266000261,1768265882297,7082.721,True,OPEN,OK,COMPUTED,,26.0063703532162,24.124331771691217,22.702185503893197,25.81609241743586,23.01567941487392,26.0063703532162,24.124331771691217,22.702185503893197,25.81609241743586,23.01567941487392,23.041409755463057,22.19938253981077,21.54124363329089,3.304184849323004,Normal_Compression,376.42,369.25,374.64,374.64,426.75,326.31,0.095,0.02535768,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.03571428571428571,,,,22.054,,,,,,,,,,,,,,,,,,,,,,,,,9,,22.054,,Unknown,Unknown,Rising,,False,Unknown,Unknown,LOCAL,IMMATURE,Bullish,7.764748091297542,10.895299917600534,Falling,29.924974363335167,68.77077962672617,Strong,37.87245981422471,True,1.7172603525086023,,0.0,,,False,Bullish,1.9133521021521918,0.0,76.49930264993029,NORMAL,NO_GAP,NEAR_HIGH,12.188635032220265,14.84018264840183,48.212863401035456,MID_RANGE,NEUTRAL,0.095,0.02535768,FLAT_DAY,EARLY,,False,-0.648185503893199
LPLA,2026-01-12 18:56:05.018451,2026-01-12,,schwab,365.36,376122.0,lastPrice,1768251650364,1768262225303,10739.715,True,OPEN,OK,COMPUTED,36.26,32.580067810905646,30.73993836795516,29.281886421790233,33.22299416820067,34.418208345396636,32.580067810905646,30.73993836795516,29.281886421790233,33.22299416820067,34.418208345396636,33.32474039351533,32.70539219018212,32.129440289542174,3.2981813891154133,Normal_Compression,366.11,355.0,355.78,359.82,403.575,262.8341,5.54,1.53965872,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.031746031746031744,,,,35.478,,,,,,,,,,,,,,,,,,,,,,,,,8,,36.26,,Unknown,Unknown,Rising,,False,Unknown,Unknown,LOCAL,IMMATURE,Bullish,6.363002577441919,5.560173528663361,Falling,15.400987816622488,81.14068494203639,Moderate,26.653711229884046,True,0.7350720140618877,,0.0,,,False,Bullish,3.040836435296697,1.1227836140292424,93.24932493249327,NORMAL,NO_GAP,NEAR_HIGH,9.46911974230316,39.007838024061584,72.84726756756567,MID_RANGE,NEUTRAL,5.54,1.53965872,NORMAL,MODERATE,,False,6.978113578209765
ETN,2026-01-12 18:56:05.018451,2026-01-12,,schwab,329.1,2166800.0,lastPrice,1768266000342,1768265438550,7526.468,True,OPEN,OK,COMPUTED,33.923,30.465445616634025,32.811577081706965,31.087508169981465,32.47893615688798,30.40002179801365,30.465445616634025,32.811577081706965,31.087508169981465,32.47893615688798,30.40002179801365,29.718210590289356,29.183416260805306,28.3932955853337,-0.6220625533474404,Normal_Compression,330.17,323.09,323.09,324.51,399.56,231.85,4.59,1.41444023,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.03968253968253968,,,,37.761,,,,,,,,,,,,,,,,,,,,,,,,,10,,33.923,,Unknown,Unknown,Stable,,False,Unknown,Unknown,LOCAL,IMMATURE,Neutral,1.616217237964167,-3.699818318210004,Falling,32.75526101058343,59.87217521586349,Strong,31.08586175418805,True,0.9163653495913701,Ascending Triangle,63.0,,,False,Bidirectional,2.1513217866909877,0.4375828171705082,84.8870056497177,NORMAL,NO_GAP,NEAR_HIGH,17.63439783762138,41.9452232046582,57.98700137141496,MID_RANGE,NEUTRAL,4.59,1.41444023,NORMAL,MODERATE,,False,2.8354918300185368
