,null_count,null_pct
Ticker,0,0.0
timestamp,0,0.0
Date,0,0.0
Error,571,100.0
data_source,0,0.0
last_price,1,0.17513134851138354
volume,1,0.17513134851138354
price_source,0,0.0
quote_time,1,0.17513134851138354
trade_time,1,0.17513134851138354
quote_age_sec,1,0.17513134851138354
is_market_open,0,0.0
market_status,0,0.0
price_history_status,0,0.0
hv_status,0,0.0
IV_7_D_Call,309,54.115586690017516
IV_14_D_Call,49,8.581436077057793
IV_21_D_Call,571,100.0
IV_30_D_Call,48,8.40630472854641
IV_60_D_Call,198,34.676007005253936
IV_90_D_Call,99,17.338003502626968
IV_120_D_Call,77,13.485113835376533
IV_150_D_Call,571,100.0
IV_180_D_Call,48,8.40630472854641
IV_270_D_Call,571,100.0
IV_360_D_Call,135,23.642732049036777
IV_720_D_Call,571,100.0
IV_1080_D_Call,571,100.0
IV_7_D_Put,571,100.0
IV_14_D_Put,571,100.0
IV_21_D_Put,571,100.0
IV_30_D_Put,571,100.0
IV_60_D_Put,571,100.0
IV_90_D_Put,571,100.0
IV_120_D_Put,571,100.0
IV_150_D_Put,571,100.0
IV_180_D_Put,571,100.0
IV_270_D_Put,571,100.0
IV_360_D_Put,571,100.0
IV_720_D_Put,571,100.0
IV_1080_D_Put,571,100.0
hv_10,2,0.3502626970227671
hv_20,2,0.3502626970227671
hv_30,2,0.3502626970227671
hv_60,2,0.3502626970227671
hv_90,2,0.3502626970227671
HV_10_D_Cur,2,0.3502626970227671
HV_20_D_Cur,2,0.3502626970227671
HV_30_D_Cur,2,0.3502626970227671
HV_60_D_Cur,2,0.3502626970227671
HV_90_D_Cur,2,0.3502626970227671
HV_120_D_Cur,2,0.3502626970227671
HV_150_D_Cur,2,0.3502626970227671
HV_180_D_Cur,2,0.3502626970227671
hv_slope,2,0.3502626970227671
volatility_regime,0,0.0
HV_EWMA,2,0.3502626970227671
highPrice,1,0.17513134851138354
lowPrice,1,0.17513134851138354
openPrice,1,0.17513134851138354
closePrice,1,0.17513134851138354
52WeekHigh,1,0.17513134851138354
52WeekLow,1,0.17513134851138354
netChange,1,0.17513134851138354
netPercentChange,1,0.17513134851138354
dividendDate,571,100.0
dividendYield,571,100.0
snapshot_ts,0,0.0
VVIX,571,100.0
VIX,571,100.0
SPY_Change_Pct,571,100.0
Snapshot_Age_Hours,0,0.0
Snapshot_Age_Trading_Days,0,0.0
Stock_Price,0,0.0
Stock_Price_Source,0,0.0
YF_Demand_Status,0,0.0
Resolution_Path,0,0.0
iv_7d,288,50.43782837127846
iv_14d,2,0.3502626970227671
iv_21d,2,0.3502626970227671
iv_30d,2,0.3502626970227671
iv_60d,169,29.597197898423815
iv_90d,65,11.38353765323993
iv_120d,35,6.129597197898424
iv_180d,2,0.3502626970227671
iv_360d,98,17.162872154115586
IV_History_Count,2,0.3502626970227671
IV_Maturity_Level,2,0.3502626970227671
IV_Rank_20D,368,64.44833625218914
IV_Rank_30D,396,69.35201401050787
IV_Rank_60D,571,100.0
IV_Rank_252D,571,100.0
IV_7D_5D_ROC,296,51.83887915936952
IV_30D_5D_ROC,25,4.378283712784588
IV_30D_10D_ROC,367,64.27320490367777
IV_90D_10D_ROC,421,73.73029772329247
IV_30D_Mean_30,396,69.35201401050787
IV_30D_Std_30,396,69.35201401050787
IV_30D_ZScore_30,396,69.35201401050787
Slope_30_7,288,50.43782837127846
Slope_30_21,2,0.3502626970227671
Slope_90_30,65,11.38353765323993
Slope_180_90,65,11.38353765323993
Surface_Steepness,288,50.43782837127846
Surface_Shape,2,0.3502626970227671
IV_Regime,571,100.0
Structural_IV_Cycle,571,100.0
LongTerm_ZScore,571,100.0
IV_Rank_Source,368,64.44833625218914
Regime_Days_In,0,0.0
IV_Trend_7D,0,0.0
HV_Accel_Proxy,0,0.0
IV_Maturity_State,0,0.0
Regime,0,0.0
HV_Trend_30D,0,0.0
Recent_Vol_Spike,0,0.0
Regime_Original,0,0.0
Regime_Adjusted,0,0.0
VVIX_Override_Applied,0,0.0
VVIX_Flag,0,0.0
IV_Timing_State,0,0.0
IV_Chase_Risk,0,0.0
Trend_State,0,0.0
Price_vs_SMA20,0,0.0
Price_vs_SMA50,0,0.0
Volume_Trend,0,0.0
ADX,0,0.0
RSI,0,0.0
Trend_Strength,0,0.0
RV_10D,0,0.0
RV_Calculated,0,0.0
Step2_Warning,571,100.0
RV_IV_Ratio,48,8.40630472854641
OHLC_Status,0,0.0
OHLC_Bar_Count,0,0.0
OHLC_Last_Date,0,0.0
Chart_Pattern,464,81.26094570928196
Pattern_Confidence,0,0.0
Candlestick_Pattern,512,89.66725043782837
Entry_Timing_Quality,512,89.66725043782837
Reversal_Confirmation,0,0.0
Signal_Type,0,0.0
intraday_range_pct,1,0.17513134851138354
gap_pct,1,0.17513134851138354
intraday_position_pct,1,0.17513134851138354
compression_tag,0,0.0
gap_tag,0,0.0
intraday_position_tag,0,0.0
pct_from_52w_high,1,0.17513134851138354
pct_from_52w_low,1,0.17513134851138354
52w_range_position,1,0.17513134851138354
52w_regime_tag,0,0.0
52w_strategy_context,0,0.0
net_change,1,0.17513134851138354
net_percent_change,1,0.17513134851138354
momentum_tag,0,0.0
entry_timing_context,0,0.0
days_to_earnings,571,100.0
earnings_proximity_flag,0,0.0
IVHV_gap_30D,49,8.581436077057793
