Ticker,timestamp,Date,Error,data_source,last_price,volume,iv_30d,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,snapshot_ts,Snapshot_Age_Hours,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20,Price_vs_SMA50,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type,Regime
BKNG,2025-12-31 18:14:39.805704,2025-12-31,,schwab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.039141322399423,20.285821278167116,26.716685543427477,29.74080452084934,26.235234233377376,13.039141322399423,20.285821278167116,26.716685543427477,29.74080452084934,26.235234233377376,24.502100935828867,23.650244081589857,24.058932343050948,-13.677544221028052,Normal_Contraction,2025-12-31 18:14:39.805704,0.030136308611111114,,Unknown,Unknown,Falling,,False,Unknown,Bullish,0.6495094423004233,4.6620255541471405,Falling,47.75860043410222,57.87108364274597,Strong,12.945716365038756,True,,,0.0,,,False,,Bullish,Unknown
AZO,2025-12-31 18:14:39.805704,2025-12-31,,schwab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.174583009577676,30.460916585296577,28.391785290496347,25.737439477085893,23.276120413404755,13.174583009577676,30.460916585296577,28.391785290496347,25.737439477085893,23.276120413404755,22.88044240146845,22.6760309511943,22.72406197167855,-15.21720228091867,Normal_Contraction,2025-12-31 18:14:39.805704,0.030136308611111114,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-3.36571697858468,-8.113276682806145,Falling,66.92454474737553,46.477919231621996,Strong,13.205467522762051,True,,,0.0,,,False,,Bearish,Unknown
MELI,2025-12-31 18:14:39.805704,2025-12-31,,schwab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.631857550220197,29.386639942937386,39.35667404569207,42.240083143935806,40.79991367585692,15.631857550220197,29.386639942937386,39.35667404569207,42.240083143935806,40.79991367585692,37.565608449880344,35.93323012254809,35.85601921607978,-23.72481649547187,Normal_Contraction,2025-12-31 18:14:39.805704,0.030136308611111114,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-0.07803185789823522,-3.486152883791572,Falling,34.764961665942025,58.0092050224241,Strong,15.777903861972586,True,,,0.0,,,False,,Bearish,Unknown
MKL,2025-12-31 18:14:39.805704,2025-12-31,,schwab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84740177780977,13.210810079953797,12.130368974826752,19.475850985020728,18.51357093340765,9.84740177780977,13.210810079953797,12.130368974826752,19.475850985020728,18.51357093340765,19.24607808138054,18.518567339086008,19.101089519461887,-2.2829671970169834,Low_Compression,2025-12-31 18:14:39.805704,0.030136308611111114,,Unknown,Unknown,Falling,,False,Unknown,Bullish,0.7039375380185909,4.669635380817589,Falling,36.361788517821616,65.04106913527397,Strong,9.83003616763756,True,,,0.0,,,False,,Bullish,Unknown
FCNCA,2025-12-31 18:14:39.805704,2025-12-31,,schwab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.656726745012634,18.79688405851855,17.890583550329016,27.03604774285723,26.44348962572849,12.656726745012634,18.79688405851855,17.890583550329016,27.03604774285723,26.44348962572849,26.816557715661627,26.28278510174751,26.77395967149339,-5.233856805316382,Normal,2025-12-31 18:14:39.805704,0.030136308611111114,,Unknown,Unknown,Falling,,False,Unknown,Bullish,2.94280541488984,11.547035849316304,Stable,88.07926145813725,69.87397873627985,Strong,12.705290810741838,True,,,0.0,,,False,,Bullish,Unknown
FICO,2025-12-31 18:14:39.805704,2025-12-31,,schwab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.71197608276822,26.18951898442678,28.76272814537725,38.722575253813005,45.93774246021896,22.71197608276822,26.18951898442678,28.76272814537725,38.722575253813005,45.93774246021896,43.57173316422309,43.692199664732115,49.82946893115483,-6.050752062609028,Normal,2025-12-31 18:14:39.805704,0.030136308611111114,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-4.1960618014983115,-2.196067345161515,Rising,19.037029075737845,41.23968935745586,Moderate,22.25879698274482,True,,,0.0,,,False,,Bearish,Unknown
TDG,2025-12-31 18:14:39.805704,2025-12-31,,schwab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.700413262428253,18.2458608123702,17.030634976526652,21.826837411442177,20.562289582160385,12.700413262428253,18.2458608123702,17.030634976526652,21.826837411442177,20.562289582160385,28.17114095876352,26.171138424368827,26.792722608742757,-4.3302217140984,Normal_Compression,2025-12-31 18:14:39.805704,0.030136308611111114,,Unknown,Unknown,Falling,,False,Unknown,Bullish,1.554802671528511,0.8394868716212533,Falling,53.74013737909594,59.03088205457128,Strong,12.76243773765096,True,,,0.0,,,False,,Bullish,Unknown
NFLX,2025-12-31 18:14:39.805704,2025-12-31,,schwab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.950730486361715,28.91887667363554,33.29783324738847,36.22663928273201,32.06216088227116,9.950730486361715,28.91887667363554,33.29783324738847,36.22663928273201,32.06216088227116,31.071662975871327,29.68652221701123,30.05690784637841,-23.34710276102675,Normal_Contraction,2025-12-31 18:14:39.805704,0.030136308611111114,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-1.8713084720242972,-10.248016380910954,Falling,40.586721439311646,55.70033814512241,Strong,9.930279092748547,True,,,0.0,,,False,,Bearish,Unknown
MTD,2025-12-31 18:14:39.805704,2025-12-31,,schwab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.038613710928011,19.119537957227532,21.781062355069785,24.360407719799188,25.693931709385353,10.038613710928011,19.119537957227532,21.781062355069785,24.360407719799188,25.693931709385353,27.264170852732654,26.494212557655818,30.746431943775637,-11.742448644141772,Normal_Contraction,2025-12-31 18:14:39.805704,0.030136308611111114,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-0.8194833774738459,-1.7455654838985493,Falling,40.34881286896417,46.1548432494491,Strong,10.240664067572954,True,,,0.0,,,False,,Bearish,Unknown
TPL,2025-12-31 18:14:39.805704,2025-12-31,,schwab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.13087859837683,46.85052873719562,41.52978869236018,42.13023506366215,41.142060243478,46.13087859837683,46.85052873719562,41.52978869236018,42.13023506366215,41.142060243478,41.706907820055214,40.04195586592064,39.76260920890199,4.601089906016654,High_Compression,2025-12-31 18:14:39.805704,0.030136308611111114,,Unknown,Unknown,Rising,,False,Unknown,Bearish,-2.5152936780088746,-5.29753873428647,Falling,17.207745344726693,43.836439068107566,Moderate,47.190573734064586,True,,,0.0,,,False,,Bearish,Unknown
