Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts,Snapshot_Age_Hours,iv_surface_source,iv_surface_date,iv_surface_age_days,history_depth_ok,iv_data_stale,regime_confidence,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call_hist,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,iv_rank_252d,iv_percentile_252d,iv_history_count,iv_index_30d_hist,IV_30_D_Call,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Regime,IV_Rank_Source,Trend_State,Price_vs_SMA20,Price_vs_SMA50,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,Signal_Type,intraday_range_pct,gap_pct,intraday_position_pct,compression_tag,gap_tag,intraday_position_tag,pct_from_52w_high,pct_from_52w_low,52w_range_position,52w_regime_tag,52w_strategy_context,net_change,net_percent_change,momentum_tag,entry_timing_context,days_to_earnings,earnings_proximity_flag,IVHV_gap_30D,IV30_Call,HV30
NVDA,2026-01-10 12:41:46.110990,2026-01-10,,schwab,184.86,131327534.0,mark,1768006799253,1768006799257,70906.853,False,CLOSED,OK,COMPUTED,34.394,16.915556253480407,30.419381104160337,27.49821830465938,34.41438868256084,34.55420481899773,16.915556253480407,30.419381104160337,27.49821830465938,34.41438868256084,34.55420481899773,32.647385656486705,31.40127298601754,32.48812500390616,-10.582662051178977,Normal_Contraction,186.34,183.6701,185.08,185.04,212.1899,86.62,-0.0699,-0.03777562,,,2026-01-10 12:41:46.110990,3.563587050555556,historical_latest,2026-01-08,2,False,False,0.03571428571428571,,,,36.718,,,,,,,,,,,,,,,,,,,,,,,,,9,,34.394,,Unknown,Unknown,Falling,,False,Unknown,Unknown,LOCAL,Neutral,0.6437916765969256,-0.8096516567874037,Stable,24.277765329033173,66.90851276442947,Moderate,16.86382342061517,True,0.4903129447175429,Descending Triangle,64.0,,,False,Bidirectional,1.4442821594720396,0.021616947686997658,44.567212255141285,NORMAL,NO_GAP,MID_RANGE,12.879925010568355,113.41491572385132,78.23530957657849,MID_RANGE,NEUTRAL,-0.0699,-0.03777562,FLAT_DAY,EARLY,46,False,6.895781695340617,34.394,27.49821830465938
AAPL,2026-01-10 12:41:46.110990,2026-01-10,,schwab,259.37,39996967.0,mark,1768006797409,1768006792561,70913.549,False,CLOSED,OK,COMPUTED,23.595,10.17395164632712,11.098255374580075,12.210057239991228,16.637809422910898,20.469095962011863,10.17395164632712,11.098255374580075,12.210057239991228,16.637809422910898,20.469095962011863,21.722842941435335,20.896243529235495,22.31194774005835,-2.0361055936641073,Low_Compression,260.21,256.22,259.075,259.04,288.62,169.2101,0.3292,0.12708462,,,2026-01-10 12:41:46.110990,3.563587050555556,historical_latest,2026-01-08,2,False,False,0.03571428571428571,,,,25.506,,,,,,,,,,,,,,,,,,,,,,,,,9,,23.595,,Unknown,Unknown,Falling,,False,Unknown,Unknown,LOCAL,Neutral,0.6437916765969256,-0.8096516567874037,Stable,24.277765329033173,66.90851276442947,Moderate,16.86382342061517,True,0.7147202127830121,Descending Triangle,64.0,,,False,Bidirectional,1.5383429078150719,0.013511426806658493,78.94736842105301,NORMAL,NO_GAP,NEAR_HIGH,10.134432818238515,53.28281231439493,75.50454359311917,MID_RANGE,NEUTRAL,0.3292,0.12708462,FLAT_DAY,EARLY,19,False,11.384942760008771,23.595,12.210057239991228
AMZN,2026-01-10 12:41:46.110990,2026-01-10,,schwab,247.38,34559961.0,mark,1768006795103,1768006799666,70906.444,False,CLOSED,OK,COMPUTED,33.694,25.644191634733144,23.262520923427683,21.158513024841533,32.479064385367394,31.19180037060384,25.644191634733144,23.262520923427683,21.158513024841533,32.479064385367394,31.19180037060384,31.763568477748116,30.006226075415228,30.181674729736898,4.485678609891611,Normal_Compression,247.86,242.24,244.568,246.29,258.6,161.38,1.26,0.51159203,,,2026-01-10 12:41:46.110990,3.563587050555556,historical_latest,2026-01-08,2,False,False,0.03571428571428571,,,,35.634,,,,,,,,,,,,,,,,,,,,,,,,,9,,33.694,,Unknown,Unknown,Rising,,False,Unknown,Unknown,LOCAL,Bullish,4.874431988219649,8.060226703467594,Stable,30.189177513643934,86.261079071973,Strong,15.138444022802272,True,0.449291981444835,,0.0,,,False,Bullish,2.2718085536421717,0.6991757684030939,91.45907473309578,NORMAL,NO_GAP,NEAR_HIGH,4.338747099767992,53.29037055397199,88.45916478090925,MID_RANGE,NEUTRAL,1.26,0.51159203,NORMAL,MODERATE,26,False,12.53548697515847,33.694,21.158513024841533
