Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts,Snapshot_Age_Hours,iv_surface_source,iv_surface_date,iv_surface_age_days,history_depth_ok,iv_data_stale,regime_confidence,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call_hist,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,iv_rank_252d,iv_percentile_252d,iv_history_count,iv_index_30d_hist,IV_30_D_Call,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Regime,IV_Rank_Source,Trend_State,Price_vs_SMA20,Price_vs_SMA50,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,Signal_Type,intraday_range_pct,gap_pct,intraday_position_pct,compression_tag,gap_tag,intraday_position_tag,pct_from_52w_high,pct_from_52w_low,52w_range_position,52w_regime_tag,52w_strategy_context,net_change,net_percent_change,momentum_tag,entry_timing_context,days_to_earnings,earnings_proximity_flag,IVHV_gap_30D,IV30_Call,HV30
NVDA,2026-01-12 07:27:14.789820,2026-01-12,,schwab,184.8251,29047573.0,lastPrice,1768231375839,1768231375732,259.057,True,OPEN,OK,COMPUTED,34.707,16.915556253480407,30.419381104160337,27.49821830465938,34.41438868256084,34.55420481899773,16.915556253480407,30.419381104160337,27.49821830465938,34.41438868256084,34.55420481899773,32.647385656486705,31.40127298601754,32.48812500390616,-10.582662051178977,Normal_Contraction,186.2,183.02,183.22,184.86,212.1899,86.62,-0.0349,-0.01887915,,,2026-01-12 07:27:14.789820,0.052680610555555556,historical_latest,2026-01-08,4,False,True,0.03571428571428571,,,,36.718,,,,,,,,,,,,,,,,,,,,,,,,,9,,34.707,,Unknown,Unknown,Falling,,False,Unknown,Unknown,LOCAL,Bullish,6.5294352492356085,6.019217875447791,Falling,26.102363632488135,80.56680625104963,Strong,25.834282791393733,True,0.7443536690406469,Ascending Triangle,63.0,,,False,Bullish,1.720545531965073,0.8871578491831735,56.76415094339604,NORMAL,NO_GAP,MID_RANGE,12.896372541765654,113.37462479796811,78.20751629172278,MID_RANGE,NEUTRAL,-0.0349,-0.01887915,FLAT_DAY,EARLY,44,False,7.208781695340619,34.707,27.49821830465938
AAPL,2026-01-12 07:27:14.789820,2026-01-12,,schwab,259.245,9408725.0,lastPrice,1768231375903,1768231375773,259.016,True,OPEN,OK,COMPUTED,24.621,10.17395164632712,11.098255374580075,12.210057239991228,16.637809422910898,20.469095962011863,10.17395164632712,11.098255374580075,12.210057239991228,16.637809422910898,20.469095962011863,21.722842941435335,20.896243529235495,22.31194774005835,-2.0361055936641073,Low_Compression,260.27,256.8,259.16,259.37,288.62,169.2101,-0.125,-0.0481937,,,2026-01-12 07:27:14.789820,0.052680610555555556,historical_latest,2026-01-08,4,False,True,0.03571428571428571,,,,25.506,,,,,,,,,,,,,,,,,,,,,,,,,9,,24.621,,Unknown,Unknown,Falling,,False,Unknown,Unknown,LOCAL,Bullish,6.5294352492356085,6.019217875447791,Falling,26.102363632488135,80.56680625104963,Strong,25.834282791393733,True,1.04927837177181,Ascending Triangle,63.0,,,False,Bullish,1.3385021890489577,0.08096541620078634,70.46109510086495,NORMAL,NO_GAP,NEAR_HIGH,10.177742360196799,53.20893965549337,75.39986215548292,MID_RANGE,NEUTRAL,-0.125,-0.0481937,FLAT_DAY,EARLY,17,False,12.410942760008771,24.621,12.210057239991228
AMZN,2026-01-12 07:27:14.789820,2026-01-12,,schwab,248.05,8398169.0,lastPrice,1768231375889,1768231375409,259.38,True,OPEN,OK,COMPUTED,37.165,25.644191634733144,23.262520923427683,21.158513024841533,32.479064385367394,31.19180037060384,25.644191634733144,23.262520923427683,21.158513024841533,32.479064385367394,31.19180037060384,31.763568477748116,30.006226075415228,30.181674729736898,4.485678609891611,Normal_Compression,248.48,246.24,246.73,247.38,258.6,161.38,0.67,0.27083839,,,2026-01-12 07:27:14.789820,0.052680610555555556,historical_latest,2026-01-08,4,False,True,0.03571428571428571,,,,35.634,,,,,,,,,,,,,,,,,,,,,,,,,9,,37.165,,Unknown,Unknown,Rising,,False,Unknown,Unknown,LOCAL,Bullish,6.5294352492356085,6.019217875447791,Falling,26.102363632488135,80.56680625104963,Strong,25.834282791393733,True,0.695123982009787,Ascending Triangle,63.0,,,False,Bullish,0.9030437411812056,0.2627536583393992,80.80357142857223,COMPRESSION,NO_GAP,NEAR_HIGH,4.079659706109826,53.70553971991574,89.1483233902489,MID_RANGE,NEUTRAL,0.67,0.27083839,FLAT_DAY,EARLY,24,False,16.006486975158467,37.165,21.158513024841533
