Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts,Snapshot_Age_Hours,iv_surface_source,iv_surface_date,iv_surface_age_days,history_depth_ok,iv_data_stale,regime_confidence,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call_hist,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,iv_rank_252d,iv_percentile_252d,iv_history_count,iv_index_30d_hist,IV_30_D_Call,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20,Price_vs_SMA50,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type,Regime,intraday_range_pct,gap_pct,intraday_position_pct,compression_tag,gap_tag,intraday_position_tag,pct_from_52w_high,pct_from_52w_low,52w_range_position,52w_regime_tag,52w_strategy_context,net_change,net_percent_change,momentum_tag,entry_timing_context,days_to_earnings,earnings_proximity_flag,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Chart_Regime,Chart_EMA_Signal,Chart_Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,SMA20,SMA50,Atr_Pct,Chart_Source,Universal_Data_Complete,Directional_Data_Complete,Completeness_Score,Completeness_Reason,Crossover_Age_Bucket,IV_Coverage_Pct
AZO,2026-01-09 11:24:56.717189,2026-01-09,,schwab,3365.46,135541.0,lastPrice,1767986426597,1767986448603,248.114,True,OPEN,OK,COMPUTED,23.311,22.045822218754704,20.292369118818986,28.82847690891961,25.7944065591412,24.09174615083029,22.045822218754704,20.292369118818986,28.82847690891961,25.7944065591412,24.09174615083029,23.112216642154692,23.126815069886877,22.726666432584462,-6.782654690164904,Normal,3387.65,3303.69,3303.69,3313.99,4388.11,3162.0,51.47,1.55311271,,,2026-01-09 11:24:56.717189,10.414275665555556,historical_latest,2026-01-08,1,False,False,0.031746031746031744,,,,24.06,,,,,,,,,,,,,,,,,,,,,,,,,8,,23.311,,Unknown,Unknown,Falling,,False,Unknown,Neutral,0.7829777968848153,-5.566587824079713,Rising,49.57893453713731,49.46524385005229,Strong,26.498924091164312,True,1.1367562134256064,Ascending Triangle,63.0,,,False,-5.517476908919608,Bidirectional,Unknown,2.494755546047198,0.31080359325163104,73.57074797522625,NORMAL,NO_GAP,NEAR_HIGH,23.30502197985009,6.434535104364328,16.59394344716217,NEAR_52W_LOW,CONTRARIAN,51.47,1.55311271,NORMAL,MODERATE,53.0,False,23.311,28.82847690891961,5.517476908919608,,,,,-19.13898166161004,,,,,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0
MELI,2026-01-09 11:24:56.717189,2026-01-09,,schwab,2168.75,161433.0,lastPrice,1767986441374,1767986449113,247.604,True,OPEN,OK,COMPUTED,33.238,45.873841029185975,36.82450004805088,37.00406973893532,43.03191328799099,42.9263726131606,45.873841029185975,36.82450004805088,37.00406973893532,43.03191328799099,42.9263726131606,39.4466250011058,37.76614105364593,36.63902447944665,8.869771290250654,Normal,2193.06,2162.0,2191.498,2179.8,2645.22,1723.903,-11.05,-0.50692724,,,2026-01-09 11:24:56.717189,10.414275665555556,historical_latest,2026-01-08,1,False,False,0.03968253968253968,,,,34.01,,,,,,,,,,,,,,,,,,,,,,,,,10,,33.238,,Unknown,Unknown,Rising,,False,Unknown,Bullish,7.080162176018358,4.668987870100647,Falling,45.249330976936854,79.07955025099616,Strong,47.337739855961345,True,1.4242054231891614,,0.0,,,False,-3.7660697389353217,Bullish,Unknown,1.4321613832853,0.5366547389668715,21.732131358660695,NORMAL,NO_GAP,NEAR_LOW,18.01249045448015,25.80464214053807,48.28381545114223,MID_RANGE,NEUTRAL,-11.05,-0.50692724,NORMAL,MODERATE,46.0,False,33.238,37.00406973893532,3.7660697389353217,,,,,-10.177447414581806,,,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0
MKL,2026-01-09 11:24:56.717189,2026-01-09,,schwab,2132.9,20929.0,lastPrice,1767986337563,1767986384068,312.649,True,OPEN,OK,COMPUTED,18.866,10.937548962197832,13.837093426141694,12.084584344829372,19.181955202229943,18.34335247126884,10.937548962197832,13.837093426141694,12.084584344829372,19.181955202229943,18.34335247126884,18.81363855328876,18.37232533135532,18.285307398797613,-1.1470353826315414,Low_Compression,2164.9699,2124.965,2138.69,2147.15,2207.59,1621.893,-14.25,-0.66367045,,,2026-01-09 11:24:56.717189,10.414275665555556,historical_latest,2026-01-08,1,False,False,0.031746031746031744,,,,19.003,,,,,,,,,,,,,,,,,,,,,,,,,8,,18.866,,Unknown,Unknown,Falling,,False,Unknown,Neutral,-1.1777500600437032,2.3080027347034453,Stable,37.724072880055665,40.318130943645166,Strong,11.174799272052013,True,0.5923247785461684,,0.0,,,False,6.781415655170628,Bidirectional,Unknown,1.8756106709175258,0.39401066530051637,19.83507020389993,NORMAL,NO_GAP,NEAR_LOW,3.3833275200558095,31.50682566605812,87.24767243130833,MID_RANGE,NEUTRAL,-14.25,-0.66367045,NORMAL,MODERATE,-72.0,False,18.866,12.084584344829372,6.781415655170628,,,,,56.11625076763348,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0
