Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,snapshot_ts,Snapshot_Age_Hours,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20,Price_vs_SMA50,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type,Regime,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol
BKNG,2025-12-31 23:30:16.645651,2025-12-31,,schwab,5355.33,112918.0,mark,1767229015926,1767226958890,25657.755,False,CLOSED,OK,COMPUTED,20.876,,,,20.876,,,,,,,,,,,,,,,,,,,,,,,13.039141322399423,20.285821278167116,26.716685543427477,29.74080452084934,26.235234233377376,13.039141322399423,20.285821278167116,26.716685543427477,29.74080452084934,26.235234233377376,24.502100935828867,23.650244081589857,24.058932343050948,-13.677544221028052,Normal_Contraction,2025-12-31 23:30:16.645651,11.201576855833332,,Unknown,Unknown,Falling,,False,Unknown,Bullish,0.6495094423004233,4.6620255541471405,Falling,47.75860043410222,57.87108364274597,Strong,12.945716365038756,True,0.6201243708104405,Double Bottom,70.0,,,False,-5.840685543427476,Bullish,Unknown,20.876,26.716685543427477,5.840685543427476,,,,,-21.861564878373667,,,,,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
AZO,2025-12-31 23:30:16.645651,2025-12-31,,schwab,3391.5,88260.0,mark,1767228984262,1767228537032,24079.613,False,CLOSED,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.174583009577676,30.460916585296577,28.391785290496347,25.737439477085893,23.276120413404755,13.174583009577676,30.460916585296577,28.391785290496347,25.737439477085893,23.276120413404755,22.88044240146845,22.6760309511943,22.72406197167855,-15.21720228091867,Normal_Contraction,2025-12-31 23:30:16.645651,11.201576855833332,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-3.36571697858468,-8.113276682806145,Falling,66.92454474737553,46.477919231621996,Strong,13.205467522762051,True,,Descending Triangle,64.0,,,False,,Bearish,Unknown,,28.391785290496347,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MELI,2025-12-31 23:30:16.645651,2025-12-31,,schwab,2014.26,199741.0,mark,1767229061511,1767229157289,23459.356,False,CLOSED,OK,COMPUTED,30.775,,,,30.775,,,,,,,,,,,,,,,,,,,,,,,15.631857550220197,29.386639942937386,39.35667404569207,42.240083143935806,40.79991367585692,15.631857550220197,29.386639942937386,39.35667404569207,42.240083143935806,40.79991367585692,37.565608449880344,35.93323012254809,35.85601921607978,-23.72481649547187,Normal_Contraction,2025-12-31 23:30:16.645651,11.201576855833332,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-0.07803185789823522,-3.486152883791572,Falling,34.764961665942025,58.0092050224241,Strong,15.777903861972586,True,0.5126857469365584,,0.0,,,False,-8.581674045692068,Bearish,Unknown,30.775,39.35667404569207,8.581674045692068,,,,,-21.804876183716566,,,,,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
MKL,2025-12-31 23:30:16.645651,2025-12-31,,schwab,2149.65,28928.0,mark,1767229200041,1767219778946,32837.699,False,CLOSED,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84740177780977,13.210810079953797,12.130368974826752,19.475850985020728,18.51357093340765,9.84740177780977,13.210810079953797,12.130368974826752,19.475850985020728,18.51357093340765,19.24607808138054,18.518567339086008,19.101089519461887,-2.2829671970169834,Low_Compression,2025-12-31 23:30:16.645651,11.201576855833332,,Unknown,Unknown,Falling,,False,Unknown,Bullish,0.7039375380185909,4.669635380817589,Falling,36.361788517821616,65.04106913527397,Strong,9.83003616763756,True,,Descending Triangle,64.0,,,False,,Bullish,Unknown,,12.130368974826752,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FCNCA,2025-12-31 23:30:16.645651,2025-12-31,,schwab,2146.18,96311.0,mark,1767229141255,1767224438623,28178.022,False,CLOSED,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.656726745012634,18.79688405851855,17.890583550329016,27.03604774285723,26.44348962572849,12.656726745012634,18.79688405851855,17.890583550329016,27.03604774285723,26.44348962572849,26.816557715661627,26.28278510174751,26.77395967149339,-5.233856805316382,Normal,2025-12-31 23:30:16.645651,11.201576855833332,,Unknown,Unknown,Falling,,False,Unknown,Bullish,2.94280541488984,11.547035849316304,Stable,88.07954934805413,69.87397873627985,Strong,12.705290810741838,True,,Descending Triangle,64.0,,,False,,Bullish,Unknown,,17.890583550329016,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FICO,2025-12-31 23:30:16.645651,2025-12-31,,schwab,1690.62,238057.0,mark,1767229200051,1767226206680,26409.965,False,CLOSED,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.71197608276822,26.18951898442678,28.76272814537725,38.722575253813005,45.93774246021896,22.71197608276822,26.18951898442678,28.76272814537725,38.722575253813005,45.93774246021896,43.57173316422309,43.692199664732115,49.82946893115483,-6.050752062609028,Normal,2025-12-31 23:30:16.645651,11.201576855833332,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-4.1960618014983115,-2.196067345161515,Rising,19.037029075737845,41.23968935745586,Moderate,22.25879698274482,True,,,0.0,Evening Star,Strong,True,,Bearish,Unknown,,28.76272814537725,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TDG,2025-12-31 23:30:16.645651,2025-12-31,,schwab,1329.85,266475.0,mark,1767229109507,1767221818835,30797.81,False,CLOSED,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.700413262428253,18.2458608123702,17.030634976526652,21.826837411442177,20.562289582160385,12.700413262428253,18.2458608123702,17.030634976526652,21.826837411442177,20.562289582160385,28.17114095876352,26.171138424368827,26.792722608742757,-4.3302217140984,Normal_Compression,2025-12-31 23:30:16.645651,11.201576855833332,,Unknown,Unknown,Falling,,False,Unknown,Bullish,1.554802671528511,0.8394868716212533,Stable,53.737538135021126,59.03088205457128,Strong,12.76243773765096,True,,,0.0,,,False,,Bullish,Unknown,,17.030634976526652,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NFLX,2025-12-31 23:30:16.645651,2025-12-31,,schwab,93.56,23495191.0,mark,1767229136827,1767229196196,23420.449,False,CLOSED,OK,COMPUTED,39.15,,,,39.15,,,,,,,,,,,,,,,,,,,,,,,9.950730486361715,28.91887667363554,33.29783324738847,36.22663928273201,32.06216088227116,9.950730486361715,28.91887667363554,33.29783324738847,36.22663928273201,32.06216088227116,31.071662975871327,29.68652221701123,30.05690784637841,-23.34710276102675,Normal_Contraction,2025-12-31 23:30:16.645651,11.201576855833332,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-1.8713084720242972,-10.248016380910954,Falling,40.58959795754718,55.70033814512241,Strong,9.930279092748547,True,0.25364697554913274,,0.0,,,False,5.852166752611531,Bearish,Unknown,39.15,33.29783324738847,5.852166752611531,,,,,17.575217910223973,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
MTD,2025-12-31 23:30:16.645651,2025-12-31,,schwab,1394.19,64206.0,mark,1767229200138,1767216626551,35990.094,False,CLOSED,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.038613710928011,19.119537957227532,21.781062355069785,24.360407719799188,25.693931709385353,10.038613710928011,19.119537957227532,21.781062355069785,24.360407719799188,25.693931709385353,27.264170852732654,26.494212557655818,30.746431943775637,-11.742448644141772,Normal_Contraction,2025-12-31 23:30:16.645651,11.201576855833332,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-0.8194833774738459,-1.7455654838985493,Falling,40.34881286896417,46.1548432494491,Strong,10.240664067572954,True,,,0.0,,,False,,Bearish,Unknown,,21.781062355069785,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TPL,2025-12-31 23:30:16.645651,2025-12-31,,schwab,287.22,297948.0,mark,1767229200192,1767229094937,23521.708,False,CLOSED,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.13087859837683,46.85052873719562,41.52978869236018,42.13023506366215,41.142060243478,46.13087859837683,46.85052873719562,41.52978869236018,42.13023506366215,41.142060243478,41.706907820055214,40.04195586592064,39.76260920890199,4.601089906016654,High_Compression,2025-12-31 23:30:16.645651,11.201576855833332,,Unknown,Unknown,Rising,,False,Unknown,Bearish,-2.5152936780088746,-5.29753873428647,Falling,17.207745344726693,43.836439068107566,Moderate,47.190573734064586,True,,Descending Triangle,64.0,,,False,,Bearish,Unknown,,41.52978869236018,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
