Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts
MA,2026-01-09 11:24:56.717189,2026-01-09,,schwab,578.9482,1189022.0,lastPrice,1767986454782,1767986445239,251.478,True,OPEN,OK,COMPUTED,21.169,,,,21.169,,,,,,,,,,,,,,,,,,,,,,,15.35704864525844,20.032419554372954,19.18276229702446,19.147937073286617,18.591111801558306,15.35704864525844,20.032419554372954,19.18276229702446,19.147937073286617,18.591111801558306,17.575495230198513,19.86882492424153,19.26237069294634,-3.8257136517660193,Normal_Compression,581.311,575.78,578.11,579.2,601.77,465.59,-0.2518,-0.04347376,,,2026-01-09 11:24:56.717189
MLM,2026-01-09 11:24:56.717189,2026-01-09,,schwab,660.07,180771.0,lastPrice,1767986448846,1767986428551,268.166,True,OPEN,OK,COMPUTED,22.528,,,,22.528,,,,,,,,,,,,,,,,,,,,,,,29.079577420818076,23.06301131247228,21.40732919021918,20.05079883575937,19.952934368904497,29.079577420818076,23.06301131247228,21.40732919021918,20.05079883575937,19.952934368904497,20.242273868756055,20.293856358811546,20.661380331094755,7.672248230598896,Normal,662.605,642.41,643.12,638.11,665.1825,441.945,21.96,3.44141292,,,2026-01-09 11:24:56.717189
FIX,2026-01-09 11:24:56.717189,2026-01-09,,schwab,1006.8139,229851.0,lastPrice,1767986452826,1767986432635,264.082,True,OPEN,OK,COMPUTED,52.271,,,,52.271,,,,,,,,,,,,,,,,,,,,,,,59.1130631028697,59.823598714507355,53.63568027563635,61.511487079141055,54.494927137657754,59.1130631028697,59.823598714507355,53.63568027563635,61.511487079141055,54.494927137657754,56.97128024214919,52.20884120276816,49.675932892559494,5.477382827233349,High,1022.11,977.6725,977.97,971.49,1050.45,276.44,35.3239,3.6360539,,,2026-01-09 11:24:56.717189
ISRG,2026-01-09 11:24:56.717189,2026-01-09,,schwab,588.175,733699.0,lastPrice,1767986454385,1767986449398,247.319,True,OPEN,OK,COMPUTED,39.098,,,,39.098,,,,,,,,,,,,,,,,,,,,,,,26.779552461954097,24.361948364413394,21.632151192079856,36.16676523065976,35.28181136821992,26.779552461954097,24.361948364413394,21.632151192079856,36.16676523065976,35.28181136821992,32.346933094006204,30.95719241328587,29.633947941054338,5.147401269874241,Normal,589.58,579.62,587.32,585.08,616.0,425.0,3.095,0.52898749,,,2026-01-09 11:24:56.717189
IDXX,2026-01-09 11:24:56.717189,2026-01-09,,schwab,711.425,251309.0,lastPrice,1767986451002,1767986407164,289.553,True,OPEN,OK,COMPUTED,39.39,,,,39.39,,,,,,,,,,,,,,,,,,,,,,,22.651618954852378,20.270203479136896,20.19696047068278,37.25465310838988,33.46694658925369,22.651618954852378,20.270203479136896,20.19696047068278,37.25465310838988,33.46694658925369,48.84711228670305,44.11551531977661,42.431121557013526,2.454658484169599,Normal_Compression,716.31,706.725,707.33,712.39,769.98,356.14,-0.965,-0.13545951,,,2026-01-09 11:24:56.717189
EME,2026-01-09 11:24:56.717189,2026-01-09,,schwab,644.935,151623.0,lastPrice,1767986433551,1767986438396,258.321,True,OPEN,OK,COMPUTED,32.398,,,,32.398,,,,,,,,,,,,,,,,,,,,,,,37.352855562543354,35.07374636406648,31.55850526500867,53.158528602842814,46.17165214596312,37.352855562543354,35.07374636406648,31.55850526500867,53.158528602842814,46.17165214596312,43.20278144064088,39.826177214171835,38.38127360541503,5.794350297534685,Normal,651.9999,630.9,631.22,628.27,778.635,320.885,16.665,2.652522,,,2026-01-09 11:24:56.717189
AMP,2026-01-09 11:24:56.717189,2026-01-09,,schwab,509.12,201782.0,lastPrice,1767986442182,1767986443585,253.132,True,OPEN,OK,COMPUTED,25.732,,,,25.732,,,,,,,,,,,,,,,,,,,,,,,22.503490433545505,17.40454886365729,19.52511931676369,23.607956096773748,22.645263011234672,22.503490433545505,17.40454886365729,19.52511931676369,23.607956096773748,22.645263011234672,22.258995453194473,21.93328086421592,21.888443217673167,2.978371116781815,Normal_Compression,510.32,501.09,504.32,503.47,582.05,396.14,5.65,1.12221185,,,2026-01-09 11:24:56.717189
REGN,2026-01-09 11:24:56.717189,2026-01-09,,schwab,793.84,407234.0,lastPrice,1767986446274,1767986429044,267.673,True,OPEN,OK,COMPUTED,38.661,,,,38.661,,,,,,,,,,,,,,,,,,,,,,,28.543912669316494,24.597451174819625,29.962081631286637,36.488953931676775,36.39479245534841,28.543912669316494,24.597451174819625,29.962081631286637,36.488953931676775,36.39479245534841,34.380900506990876,32.88133477192191,44.12242076263118,-1.4181689619701423,Normal_Compression,821.11,790.875,802.97,801.01,821.11,476.4869,-7.17,-0.89511991,,,2026-01-09 11:24:56.717189
GEV,2026-01-09 11:24:56.717189,2026-01-09,,schwab,626.13,2061957.0,lastPrice,1767986455738,1767986440514,256.203,True,OPEN,OK,COMPUTED,47.121,,,,47.121,,,,,,,,,,,,,,,,,,,,,,,39.052782270476825,55.086930407748746,66.72537494472706,57.893518894115545,52.869562375426106,39.052782270476825,55.086930407748746,66.72537494472706,57.893518894115545,52.869562375426106,52.87642441966172,49.06436450340356,47.325525539366886,-27.67259267425024,High_Contraction,632.32,621.11,632.32,628.4,731.0,252.25,-2.27,-0.36123488,,,2026-01-09 11:24:56.717189
SPGI,2026-01-09 11:24:56.717189,2026-01-09,,schwab,543.215,682241.0,lastPrice,1767986445711,1767986452226,244.491,True,OPEN,OK,COMPUTED,21.801,,,,21.801,,,,,,,,,,,,,,,,,,,,,,,24.641652535024893,19.93757216099868,18.39526410230476,21.193408751922725,22.694158170385897,24.641652535024893,19.93757216099868,18.39526410230476,21.193408751922725,22.694158170385897,21.77671115179339,20.434019839595894,19.91234947403666,6.246388432720135,Normal,547.33,541.63,543.82,541.56,579.05,427.14,1.655,0.30559864,,,2026-01-09 11:24:56.717189
